employee_id,first_name,last_name,email,phone_number,hire_date,department,job_title,years_of_experience,education_level,city,state,salary
10059,Caitlin,Campbell,caitlin.campbell46@dickerson-richardson.com,+1-244-754-2455x5721,2018-11-13,Sales,Sales Manager,7,Master's Degree,Port Heidi,IL,177717.61
10060,Joseph,Brown,joseph.brown46@duffy-burton.com,(821)725-9058x8859,2022-08-20,Customer Support,Customer Support Rep,4,Bachelor's Degree,Garciaborough,MD,166282.9
10061,Thomas,Wheeler,thomas.wheeler19@jackson.org,(855)554-3844,2018-08-30,Engineering,Senior Software Engineer,8,PhD,Powellshire,WI,237969.5
10062,Ethan,Harris,ethan.harris61@rocha-patterson.com,(583)937-7912x9296,2020-10-29,Sales,Sales Representative,3,Bachelor's Degree,East Michael,MI,88454.97
10063,James,Hernandez,james.hernandez5@moore-foster.org,219-358-0237,2012-03-24,Customer Support,Customer Support Rep,11,Bachelor's Degree,South Richardberg,ME,86962.85
10064,Juan,Acosta,juan.acosta84@bryant.com,584-894-9393,2009-04-17,Human Resources,HR Specialist,15,PhD,Kellyport,MO,270174.26
10065,Shawna,Thomas,shawna.thomas84@peterson-potts.net,903-764-0552,2008-09-07,Research & Development,R&D Engineer,17,PhD,Markburgh,HI,357387.23
10066,Jaime,Butler,jaime.butler87@hernandez.biz,824-483-8196,2020-09-28,Engineering,QA Engineer,6,Bachelor's Degree,Port Stephanie,ID,157241.93
10067,Paula,Robertson,paula.robertson3@smith.com,+1-820-354-7228x1108,2022-05-04,Research & Development,Data Scientist,3,Master's Degree,Avilaton,AS,131542.95
10068,Eugene,Walters,eugene.walters2@saunders-martinez.com,8688666051,2015-06-29,Sales,Account Manager,8,Bachelor's Degree,Port Paul,GA,255133.29
10069,Justin,Johnson,justin.johnson92@davis.com,001-531-870-9067x3357,2014-09-30,Customer Support,Customer Support Rep,10,Associate's Degree,North Justinview,VT,162947.91
10070,Christopher,Fletcher,christopher.fletcher56@collins-hall.biz,4636743202,2021-08-29,IT,Network Administrator,2,Master's Degree,North Christine,NJ,221747.07
10071,Harold,Soto,harold.soto92@bullock-olson.info,(737)531-9144x97065,2010-04-11,Sales,Business Development Rep,14,High School,West Donnastad,FL,173113.72
10072,Monique,Blackwell,monique.blackwell38@gray-harris.org,001-390-533-6422x5512,2017-01-14,Sales,Sales Representative,6,Bachelor's Degree,Taylorton,DE,128806.28
10073,Lisa,Pace,lisa.pace17@mcmillan.org,350.209.5258,2006-10-30,Marketing,SEO Analyst,19,High School,Robertfurt,IA,69910.22
10074,Rachel,Campbell,rachel.campbell98@ramos.info,+1-828-469-1965,2009-12-09,Marketing,Content Creator,16,PhD,Michaelburgh,UT,200663.04
10075,Annette,Moses,annette.moses78@monroe-fitzpatrick.com,(206)482-6278,2010-09-02,Customer Support,Customer Success Manager,13,PhD,Hartmanborough,MN,216788.84
10076,Yolanda,Bennett,yolanda.bennett81@johnson.com,521.315.5516x703,2015-04-14,Research & Development,Research Scientist,9,Associate's Degree,Port Taylor,MA,116561.56
10077,Marcus,Williamson,marcus.williamson90@goodman.org,+1-653-516-0690x6801,2014-01-28,IT,Cybersecurity Analyst,13,High School,Brewerchester,IL,195339.85
10078,Michael,Wong,michael.wong66@davis.biz,896.572.6988x52958,2013-05-12,Operations,Logistics Coordinator,12,Master's Degree,New Chadchester,KS,115752.72
10079,John,Rowe,john.rowe35@lambert-berry.com,(964)996-1105x435,2010-04-25,Operations,Logistics Coordinator,15,Master's Degree,Pierceborough,CO,167645.5
10080,Sara,Davis,sara.davis44@manning-gardner.biz,5876583504,2008-05-20,Human Resources,HR Specialist,19,Associate's Degree,East Francisco,ND,82400.98
10081,Lori,Gilmore,lori.gilmore23@price.com,001-691-482-2523,2024-06-04,Legal,Paralegal,1,PhD,Millerfort,GA,218429.38
10082,John,Oconnell,john.oconnell53@brown.com,001-288-966-6873,2016-10-09,Research & Development,R&D Engineer,10,Bachelor's Degree,Oliverfurt,RI,233202.29
10083,Jason,Ramirez,jason.ramirez42@norris-love.com,721-496-1317x4850,2020-11-24,Legal,Paralegal,3,Bachelor's Degree,Morganberg,WA,64070.0
10084,Michael,Ellis,michael.ellis40@trujillo.info,(445)588-5904x321,2007-07-29,Research & Development,Data Scientist,19,Master's Degree,East Taylorton,MN,199639.37
10085,Oscar,Jefferson,oscar.jefferson72@peterson.com,(625)755-6690x72588,2016-07-01,Sales,Sales Manager,8,Master's Degree,Jesseberg,DE,283167.17
10086,Carol,Morgan,carol.morgan48@turner.info,(439)429-4028x814,2017-10-14,Engineering,Engineering Manager,8,High School,West Scott,KY,112820.12
10087,Nicole,Mathews,nicole.mathews49@holmes.com,(959)628-7282,2012-07-10,Finance,Financial Analyst,14,PhD,West Bobby,GU,126371.12
10088,Nicole,Flores,nicole.flores11@johnson.com,001-962-987-7169,2016-09-27,IT,Network Administrator,8,PhD,East Ryan,FM,150280.61
10089,Shelly,Johnson,shelly.johnson98@gonzalez-payne.com,001-658-636-5190x29903,2011-09-15,Customer Support,Customer Success Manager,14,High School,Hamiltonhaven,KS,133957.1
10090,Matthew,Mullins,matthew.mullins32@combs-kelly.com,+1-640-522-5609x6487,2023-09-13,Marketing,Marketing Specialist,0,High School,West Elizabeth,KY,83111.14
10091,Kathleen,Gonzalez,kathleen.gonzalez44@anderson.info,(710)610-5073x4093,2009-06-10,Customer Support,Customer Support Rep,18,Master's Degree,Lopezberg,NM,159889.25
10092,Cynthia,Johnson,cynthia.johnson4@diaz.biz,966.200.1299,2020-10-07,Operations,Logistics Coordinator,5,Master's Degree,Thompsonbury,OH,209414.29
10093,Michael,Miller,michael.miller2@smith-kelly.org,(288)544-9014x7229,2020-02-22,Customer Support,Customer Success Manager,6,Bachelor's Degree,Lake Johnton,WV,95681.29
10094,Anthony,Warren,anthony.warren70@levine.org,+1-522-445-8240,2013-05-21,Finance,Finance Manager,14,PhD,Fowlerchester,OH,368878.69
10095,Courtney,Morris,courtney.morris71@green.com,+1-685-920-5587x1886,2022-02-27,Finance,Finance Manager,2,High School,Wagnerside,VT,102127.85
10096,John,Phillips,john.phillips96@simmons.com,001-776-227-8480x53436,2023-02-11,Human Resources,HR Manager,0,High School,Christianfurt,AZ,138254.96
10097,Rebecca,Washington,rebecca.washington55@powers.com,(388)508-0815x4489,2008-08-02,Engineering,QA Engineer,15,PhD,Yangbury,DC,244154.69
10098,Ashley,Wolf,ashley.wolf57@cox-ramirez.com,565.751.3270x5695,2011-10-03,IT,IT Support Specialist,11,High School,South Taylor,MN,118252.43
10099,Samantha,Edwards,samantha.edwards18@stone.com,611.568.8971,2018-10-12,Finance,Auditor,8,Master's Degree,Lake Kelliview,TN,150618.4
10100,Michael,Alvarez,michael.alvarez93@johnson.info,+1-857-584-5247x87182,2022-09-20,Research & Development,R&D Engineer,3,Bachelor's Degree,New Derek,RI,143561.23
10101,Jessica,Cisneros,jessica.cisneros54@hart.com,+1-318-785-2260x3900,2022-10-31,Operations,Logistics Coordinator,2,Associate's Degree,Wilsonfurt,NH,116339.8
10102,Sara,Mitchell,sara.mitchell74@butler.com,(812)449-8877x658,2021-01-05,Marketing,Marketing Manager,4,High School,East Joseph,ND,149705.76
10103,Michael,Valencia,michael.valencia81@richardson.info,386.816.8095x08697,2018-02-05,Legal,Paralegal,6,Associate's Degree,Houstonstad,VI,110586.49
10104,Natasha,Johnson,natasha.johnson31@hardin.org,+1-493-452-5499x299,2014-04-14,Marketing,SEO Analyst,12,High School,East Paulberg,FM,83351.11
10105,Tracy,Richardson,tracy.richardson89@elliott.net,510-220-8120,2021-12-29,Customer Support,Customer Success Manager,1,Associate's Degree,Paynefurt,KY,158309.17
10106,Justin,Williams,justin.williams86@smith.com,(740)605-4116x60183,2021-05-07,Customer Support,Customer Success Manager,4,Bachelor's Degree,New Amberbury,ME,100181.98
10107,Benjamin,Dalton,benjamin.dalton61@montoya-sandoval.net,(652)269-8492x25709,2016-05-31,Research & Development,Data Scientist,8,PhD,Annabury,AL,250255.6
10108,Laura,Bryant,laura.bryant27@franklin.com,654.989.2720,2017-07-06,Customer Support,Customer Success Manager,7,PhD,East Vickietown,SD,103069.79
10109,Michael,Pearson,michael.pearson93@taylor.org,(922)860-7411x3273,2007-01-21,Marketing,Marketing Specialist,17,High School,East Danstad,KY,100027.18
10110,George,Bridges,george.bridges64@clark-larson.info,(349)967-1417x7004,2014-11-07,Customer Support,Customer Support Rep,9,Bachelor's Degree,West Brianport,IL,151165.88
10111,Anthony,Stevens,anthony.stevens96@rollins-sanchez.com,(539)596-4963,2025-05-23,Operations,Logistics Coordinator,0,Bachelor's Degree,East Michaelshire,MT,81462.89
10112,Christina,Perez,christina.perez42@malone-rogers.com,550-263-8165,2025-05-28,Human Resources,HR Coordinator,0,Master's Degree,Malikberg,NC,159514.97
10113,Tina,Miller,tina.miller59@thomas-shaw.com,001-981-679-5856x645,2011-02-18,Marketing,SEO Analyst,14,Associate's Degree,Kaufmanport,PW,132249.18
10114,Angela,Martinez,angela.martinez55@doyle-reed.com,(469)659-6672x247,2007-08-18,IT,Cybersecurity Analyst,18,Master's Degree,Harringtonburgh,AL,200085.32
10115,Haley,Powell,haley.powell72@mullins.com,+1-258-287-7695,2021-11-05,Engineering,Software Engineer,2,Associate's Degree,West Deanna,SC,157460.54
10116,James,Leblanc,james.leblanc28@garcia.biz,001-310-540-6225x3446,2017-09-29,Human Resources,Recruiter,7,Bachelor's Degree,Lake Angela,MD,146665.62
10117,Timothy,Wright,timothy.wright20@austin.com,551.852.8848x0202,2010-05-15,Engineering,DevOps Engineer,14,Bachelor's Degree,North Kendraborough,MT,245632.71
10118,Jacqueline,Randolph,jacqueline.randolph65@mcintosh.com,+1-665-903-0690,2006-02-23,Research & Development,R&D Engineer,21,Bachelor's Degree,Dixonburgh,VA,296885.25
10119,Betty,Bryant,betty.bryant35@williams.com,665.859.2252,2017-05-19,Finance,Accountant,6,Bachelor's Degree,West Amyfort,MN,172306.17
10120,Chris,Miller,chris.miller43@webb.net,(649)779-4857,2007-09-30,Customer Support,Customer Success Manager,15,High School,West Kathy,CT,111843.57
10121,Vicki,Bennett,vicki.bennett21@smith.com,446.223.9412x17799,2017-06-15,Marketing,Marketing Specialist,9,PhD,Aliciashire,AR,294752.77
10122,Chase,Mata,chase.mata51@black.com,(633)517-4033,2018-08-02,Operations,Logistics Coordinator,7,PhD,Daytown,VT,170446.96
10123,Robin,Dunn,robin.dunn88@pruitt-smith.info,4809374167,2018-03-09,Legal,Legal Counsel,8,Associate's Degree,Sandrafurt,MS,90357.81
10124,Emma,Dixon,emma.dixon10@wright.com,322.603.1393,2014-04-16,Sales,Account Manager,13,Master's Degree,Mayofurt,PR,360496.38
10125,Jennifer,Tran,jennifer.tran86@nolan.com,(629)858-1059x2811,2015-12-12,Sales,Account Manager,11,Associate's Degree,West Alexander,NH,121208.44
10126,Tammy,Harris,tammy.harris9@wilson.com,802-770-9934,2022-11-12,Marketing,Marketing Specialist,3,Master's Degree,Mitchellchester,MP,120046.83
10127,Rhonda,Higgins,rhonda.higgins25@stark.com,370-943-4748x818,2024-03-18,Marketing,Marketing Manager,0,PhD,Turnerborough,MH,213684.85
10128,Lorraine,Mcbride,lorraine.mcbride18@johnson-valdez.com,469-927-0615,2016-01-23,Customer Support,Customer Support Rep,10,Bachelor's Degree,Stoneton,AL,165782.86
10129,Kenneth,Sims,kenneth.sims71@young.com,+1-931-704-0608x7994,2013-04-24,Engineering,DevOps Engineer,10,PhD,North Courtney,DC,337736.9
10130,Janice,Mcdonald,janice.mcdonald14@goodman.biz,(684)913-8198x5263,2015-02-08,Finance,Auditor,9,Associate's Degree,Riverabury,CA,165196.38
10131,Victor,Wells,victor.wells47@sullivan-barnes.org,+1-790-935-9316x186,2013-03-06,Engineering,DevOps Engineer,13,Bachelor's Degree,Allenport,CT,239303.97
10132,John,Brown,john.brown43@davidson.com,930.789.0165,2008-07-09,Legal,Paralegal,19,PhD,Gonzalezshire,VT,171363.5
10133,Tracy,Gomez,tracy.gomez33@white.com,365.807.1438,2019-03-13,Marketing,SEO Analyst,6,PhD,Richview,SC,197350.88
10134,Patrick,Rios,patrick.rios54@cooper-walsh.net,(917)377-0745x2108,2014-10-27,Legal,Paralegal,9,Master's Degree,North Soniaside,NV,98281.72
10135,Calvin,Leonard,calvin.leonard81@hernandez-torres.com,(896)325-1784x60794,2014-02-28,Operations,Logistics Coordinator,9,Master's Degree,New Andrew,IL,190670.37
10136,Regina,Bruce,regina.bruce42@james.info,(680)669-6526x3332,2021-07-11,Finance,Accountant,2,PhD,Jacobtown,OK,270856.25
10137,Michael,Hunt,michael.hunt90@boyd-ross.biz,(750)877-5245,2018-06-27,Research & Development,Data Scientist,5,Bachelor's Degree,East Janice,OR,206133.79
10138,Julian,Dawson,julian.dawson94@wilkerson-pham.com,+1-779-452-9217,2025-01-22,IT,Network Administrator,2,Bachelor's Degree,Lake Alison,VT,181001.81
10139,Amber,Park,amber.park78@valentine.com,+1-980-872-6905x9993,2025-02-05,Finance,Auditor,1,PhD,Oconnellfurt,NC,260202.98
10140,Leonard,Brown,leonard.brown92@coleman.com,474.723.7714,2023-11-02,Research & Development,R&D Engineer,3,Bachelor's Degree,Williamchester,KY,80773.9
10141,Meagan,Archer,meagan.archer50@melton.com,385-999-8810,2011-12-06,IT,Cybersecurity Analyst,12,Associate's Degree,Lake Jade,WI,178414.51
10142,Kristi,Barnes,kristi.barnes5@silva.com,254-671-0239,2019-04-18,IT,System Administrator,7,Bachelor's Degree,Lake Wesleyhaven,WA,137360.53
10143,Dennis,Wade,dennis.wade99@lee.com,(301)452-3931x96868,2006-05-16,Customer Support,Customer Success Manager,18,Master's Degree,Brownland,IL,204191.52
10144,Emma,Mcdonald,emma.mcdonald63@harrington.net,247.286.9967x919,2005-10-02,Finance,Financial Analyst,17,PhD,Klinebury,UT,341619.52
10145,Tammy,Vincent,tammy.vincent24@fields.com,+1-640-200-2606x805,2007-06-11,Human Resources,HR Specialist,17,Associate's Degree,South Gabriel,MO,125441.04
10146,Katherine,Schmidt,katherine.schmidt27@ford.net,797-395-9660x461,2013-05-23,Engineering,DevOps Engineer,12,Associate's Degree,Lake Kathleen,FL,154230.65
10147,David,Bates,david.bates70@lara-espinoza.com,9995310195,2014-09-15,Research & Development,Data Scientist,9,PhD,Davidsonbury,HI,161256.6
10148,Jamie,Rodriguez,jamie.rodriguez3@curtis.com,664-244-8013x15763,2015-10-22,Research & Development,Research Scientist,8,High School,North Jennifer,AL,117302.88
10149,Richard,Leach,richard.leach30@gomez.com,402.370.1182x3859,2016-11-25,Engineering,Senior Software Engineer,9,PhD,East Aimeemouth,AS,447783.35
10150,Hannah,Lindsey,hannah.lindsey20@baker-sheppard.org,+1-241-770-7235x171,2014-02-08,Marketing,SEO Analyst,9,High School,Katherineview,NY,117634.39
10151,Theresa,Becker,theresa.becker37@bryant.com,001-975-504-2564x1771,2008-08-11,IT,Cybersecurity Analyst,15,Master's Degree,Priceside,FM,326122.56
10152,Michelle,Cervantes,michelle.cervantes81@gomez.com,001-544-364-8993x47035,2021-11-29,Operations,Operations Manager,5,Associate's Degree,North Troychester,GU,152997.26
10153,Jerome,Thompson,jerome.thompson85@taylor.com,453-868-8891,2010-06-30,Operations,Operations Manager,14,PhD,Ashleyberg,WI,337739.64
10154,Mark,Thomas,mark.thomas21@brock.com,721.721.6484x661,2005-09-08,Human Resources,HR Specialist,18,Master's Degree,Porterchester,NH,257126.28
10155,Julie,Conway,julie.conway14@garcia.com,875-358-7812x80153,2021-08-16,Engineering,Senior Software Engineer,4,PhD,South Richardburgh,OR,385195.39
10156,Denise,Pope,denise.pope48@soto.com,+1-314-871-1889x3056,2009-06-11,Human Resources,HR Manager,14,Bachelor's Degree,Bentonville,AL,192325.97
10157,Margaret,Rivera,margaret.rivera87@crawford.org,626.409.9762x3955,2008-09-06,Finance,Auditor,14,Master's Degree,Callahanport,CA,303226.71
10158,Greg,Allen,greg.allen83@smith-mcbride.biz,+1-417-750-1265,2014-07-19,Customer Support,Customer Success Manager,12,Associate's Degree,South Matthewport,LA,159344.41
10159,David,Howard,david.howard60@dixon.info,535-551-2715x3194,2015-12-15,Sales,Sales Representative,10,Bachelor's Degree,Matthewmouth,MP,86571.54
10160,Sarah,Mata,sarah.mata14@gould.biz,966-581-6962x873,2011-09-10,IT,Network Administrator,12,Master's Degree,Michaeltown,MD,139848.64
10161,Edwin,Smith,edwin.smith73@gilbert.org,782.985.2608,2014-12-27,Finance,Finance Manager,9,PhD,Grayview,KY,309852.34
10162,Robert,Galvan,robert.galvan56@burns.com,243-902-5017x593,2010-09-26,Human Resources,HR Manager,13,Master's Degree,Whitemouth,NY,249940.22
10163,Christopher,Holland,christopher.holland60@miller.com,(218)937-6950,2005-12-09,Marketing,Marketing Specialist,19,High School,New Douglas,OR,67501.76
10164,Emily,Coleman,emily.coleman61@turner-noble.com,001-600-756-8504x34845,2008-05-05,Operations,Operations Manager,16,Bachelor's Degree,Lake Michael,OK,229494.97
10165,Amy,Smith,amy.smith72@moran-mendoza.com,001-230-394-6094x73050,2008-08-16,Customer Support,Customer Success Manager,15,Associate's Degree,Jeremyside,MI,153354.5
10166,Sarah,Gregory,sarah.gregory94@wolfe.biz,321.896.9955,2013-07-26,Human Resources,Recruiter,10,Associate's Degree,Lopezside,OH,186053.04
10167,John,Eaton,john.eaton92@taylor.biz,(501)950-3197x088,2015-04-02,Legal,Legal Counsel,12,Master's Degree,Harrisburgh,KY,383375.58
10168,Steven,Anderson,steven.anderson49@drake-terrell.com,5542233702,2012-02-27,Sales,Business Development Rep,11,Master's Degree,Higginsfurt,TX,92102.93
10169,Lori,Church,lori.church79@hood-wilson.net,+1-290-268-4187,2008-05-14,IT,IT Support Specialist,15,PhD,Lake Johnshire,PA,302389.01
10170,Gregory,Johnson,gregory.johnson65@schneider.com,945-232-5035,2024-08-01,Customer Support,Customer Success Manager,2,Master's Degree,West Moniquemouth,WI,224593.16
10171,Jacob,Decker,jacob.decker61@martinez.com,333-206-8416x60961,2008-10-24,Engineering,Software Engineer,16,Associate's Degree,Owensview,WI,182866.7
10172,Ian,Castillo,ian.castillo35@lowe-moore.com,(901)664-1200,2009-11-16,Legal,Paralegal,14,Bachelor's Degree,New Julie,AK,101198.52
